[6.770571730888132, 1.539091762478388]
[8.598620004006797, 1.2976448733458188]
[7.997803803097591, -0.25486526562705236]
[6.378459528697285, -0.26060539312821573]
[8.439376159930804, 0.7395952746300262]
[8.70185079965838, -2.7023867507534023]
[8.023929982925573, 2.679794510956503]
[6.345024129980281, -1.5067733342443437]
[7.779147137684039, -1.5907716961078404]
[8.94102865581946, 2.633912675693545]
[7.128616747573953, 0.7258518859034323]
[9.317315040951677, -2.023362246160787]
[8.119681152991708, -1.3311482007820037]
[7.175708365406001, 1.994787551260762]
[6.297653809757228, 2.2065935682219058]
[9.300506760222095, 2.3786881919500336]
[9.131777016809943, -2.603695985301172]
[6.199882482412557, -1.4601059431992165]
[9.93751367300938, 2.0688112863469366]
[8.951118817917513, 0.1363804776275046]
[6.7497563983897, 1.831377023060314]
[9.892536127998955, 2.1294103968230513]
[6.801399747754166, 1.0465680286035859]
[7.447615761342148, 0.7577762084944208]
[9.436075963600992, 2.6538226379322283]
[8.51739933775618, 0.6564534915507345]
[9.113856739030014, -1.940454721668822]
[6.9521187079518825, 0.749685963217518]
[6.762873503921618, -2.5318451487887885]
[8.773239411023093, 0.04906251967034403]
[8.537098542544276, -1.7366943054457482]
[6.537380573482237, 0.08366820875027858]
[9.686796653476218, -2.7856798933946223]
[6.348453540381502, 1.9502513403422537]
[8.666000833723066, -2.479121924716913]
[8.607274877168889, 2.1442143260175226]
[9.968501320214438, -1.977213899304235]
[8.161839002085525, 0.5616943910952868]
[9.905938140029376, 0.9042502788520943]
[6.975956641871227, -0.0421802751582282]
[6.4113111126576, -2.627322719386839]
[7.2859549674267985, 1.833189239584477]
[8.158402145638227, 0.41380491986711143]
[6.0226622966692425, 2.0510534751983402]
[6.421703527845182, -0.4905179352078546]
[6.749204891042513, 2.618006041555539]
[6.592278543380005, 0.23012556670140039]
[9.927435366858267, 1.6906672109763823]
[7.638908918960796, 1.5448580990143919]
[9.842722373769735, -1.308518081541256]
[6.837401148654242, -0.4577495451979733]
[6.148686757411413, 0.12981353863227796]
[6.197446496524086, -2.6816845967340193]
[9.182390688630683, -0.9112008435783507]
[6.507894979388436, 0.13887945709476446]
[6.504743610623832, -2.9772134058105317]
[8.46401743911098, -0.07105843333332273]
[7.613412789384839, 1.6578404174654753]
[9.092160706405393, 2.143012781574761]
[9.748488220460125, 0.6244545285601315]
[6.88332296880498, -1.570526209330243]
[6.134418312341062, 2.4565286762680714]
[9.860551273422862, -1.2484068355091558]
[9.903707729643997, -2.3884610128322175]
[8.58648350631491, -1.6731992067872654]
[6.934759438641462, 1.0726391715521846]
[6.531793245327774, -2.768222436184086]
[9.03443753770493, -1.4300602819552743]
[9.366497861303506, -2.730203760094059]
[6.543192640976893, -1.5809672191361681]
[9.157889684140805, 1.8224413289748065]
[8.125363191617838, -0.637626466793492]
[9.659720021863773, -0.5783340856052739]
